Table 1 - Tridiagonal Matrices (Part 1)

| Condition Type | System Dimension | Matrix Elements Range | Average Relative Error |
| Ill-conditioned SLAE | 4096 | 1e-01 | 5.26813e-10 |
| Ill-conditioned SLAE | 4096 | 1e+01 | 2.69121e-11 |
| Ill-conditioned SLAE | 4096 | 1e+02 | 1.32852e-09 |
| Ill-conditioned SLAE | 4096 | 1e+03 | 1.24798e-09 |

 DIMENSION DEPENDENCE ANALYSIS
----------------------------------------------------------------
 Dimension    Well-Conditioned Error    Ill-Conditioned Error
----------------------------------------------------------------
        4      1.05471e-15          5.60285e-15
        8      3.40199e-16          1.63897e-12
       16      1.30879e-15          1.17363e-13
       32      6.62982e-16          4.30939e-13
       64      8.57538e-16          6.06167e-13
      128      5.05094e-15          4.15986e-12
      256      3.94941e-15          8.60686e-12
      512      9.09063e-16          5.61539e-12
     1024      5.18241e-16          3.04528e-07
     2048      5.23257e-16          1.40332e-10
     4096      4.95598e-16          3.81093e-10

 RANGE DEPENDENCE ANALYSIS
----------------------------------------------------------------
 Range      Well-Conditioned Error    Ill-Conditioned Error
----------------------------------------------------------------
 1e-01      4.67447e-16          6.95445e-13
 1e+01      4.48806e-16          2.95635e-13
 1e+02      1.02282e-14          5.10767e-13
 1e+03      4.31012e-16          8.92876e-13

 AVERAGE ERRORS
----------------------------------------------------------------
Average error of well-condioned tridiagonal matrix: 3.980166e-16
Average error of ill-condioned tridiagonal matrix: 1.824119e-10
Average error of well-condioned special matrix: 3.206998e-15
Average error of ill-condioned special matrix: 1.331899e-10
